Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,Facility Type
ELEC,City of Raleigh - Municipal Building,285 W Hargett St,Street pay parking at the curb,Raleigh,NC,27601,919-996-3030,E,Public,24 hours daily; metered parking,,,2,0,35.778416,-78.64347,10/01/2023,39016,2023-01-10 16:44:47 UTC,15/10/2010,J1772,STREET_PARKING
ELEC,City of Raleigh - Downtown,215 W Cabarrus St,Street parking at the curb,Raleigh,NC,27601,919-996-3030,E,Public,24 hours daily,,,1,0,35.77435,-78.642287,10/01/2023,39017,2023-01-10 16:44:47 UTC,15/02/2011,J1772,STREET_PARKING
ELEC,Oak Ridge Nissan,101 S Illinois Ave,,Oak Ridge,TN,37830,865-482-5489,E,Public - Call ahead,Dealership business hours,,,1,0,36.010279,-84.268049,09/06/2020,39705,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Newton Nissan South,2801 Highway 231 N,,Shelbyville,TN,37160,931-684-6811,E,Public - Call ahead,Dealership business hours,,,1,0,35.558371,-86.448276,09/06/2020,39707,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Mountain View Nissan,2100 S Market St,,Chattanooga,TN,37408,423-756-1500,E,Public - Call ahead,Dealership business hours,,,1,1,35.030251,-85.308376,09/06/2020,39802,2021-03-11 23:22:17 UTC,15/03/2011,CHADEMO J1772,CAR_DEALER
ELEC,Harold Mathews Nissan,185 Highway 76,,Clarksville,TN,37043,931-552-7555,E,Public - Call ahead,Dealership business hours,,,1,1,36.513006,-87.268667,10/02/2022,39803,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772,CAR_DEALER
ELEC,Cookeville Nissan,501 Neal St,,Cookeville,TN,38501,931-528-7715,E,Public - Call ahead,Dealership business hours,,,1,0,36.137109,-85.496453,09/06/2020,39805,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Victory Nissan West,2219 Highway 46 S,,Dickson,TN,37055,615-446-7070,E,Public - Call ahead,Dealership business hours,,,1,0,36.023934,-87.340223,09/06/2020,39806,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Rick Hill Nissan,2700 Parr Ave,,Dyersburg,TN,38024,731-285-6294,E,Public - Call ahead,Dealership business hours,,,1,0,36.063277,-89.379485,09/06/2020,39807,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Nissan of Cool Springs,212 Comtide Ct,,Franklin,TN,37067,615-790-2500,E,Public - Call ahead,Dealership business hours,,,1,1,35.957857,-86.80853,10/02/2022,39808,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,Newton Nissan of Gallatin,1461 Nashville Pike,,Gallatin,TN,37066,615-451-6827,E,Public - Call ahead,Dealership business hours,,,1,1,36.361376,-86.494932,10/02/2022,39809,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,Tri-Cities Nissan,3602 Bristol Hwy,,Johnson City,TN,37601,423-282-4731,E,Public - Call ahead,Dealership business hours,,,1,0,36.374198,-82.372119,09/06/2020,39811,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Wallace Nissan Oldsmobile,2733 E Stone Dr,,Kingsport,TN,37660,423-288-5500,E,Public - Call ahead,Dealership business hours,,,3,0,36.551978,-82.487762,05/08/2020,39812,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Ted Russell Nissan,8565 Kingston Pike,,Knoxville,TN,37919,865-693-2856,E,Public - Call ahead,Dealership business hours,,,1,0,35.920587,-84.067881,09/06/2020,39813,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Rusty Wallace Nissan,4515 Clinton Hwy,,Knoxville,TN,37912,865-687-6111,E,Public - Call ahead,Dealership business hours,,,1,0,35.999617,-83.969451,09/06/2020,39814,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Nissan of Rivergate,1550 Gallatin Pike N,,Madison,TN,37115,615-865-7220,E,Public - Call ahead,Dealership business hours,,,1,1,36.29062,-86.7051,10/02/2022,39815,2022-02-10 19:42:29 UTC,01/05/2019,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,Roberts Nissan,2747 Hillsboro Hwy,,Manchester,TN,37355,931-728-2212,E,Public - Call ahead,Dealership business hours,,,1,0,35.454702,-86.041805,09/06/2020,39816,2021-03-11 23:22:17 UTC,01/05/2019,J1772,CAR_DEALER
ELEC,Weakley County Motors,841 N Lindell St,,Martin,TN,38237,731-587-3141,E,Public - Call ahead,Dealership business hours,,,1,0,36.369277,-88.849653,09/06/2020,39817,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,AutoNation Nissan - Memphis,4140 Hacks Cross Rd,,Memphis,TN,38125,901-759-6100,E,Public - Call ahead,Dealership business hours,,,1,0,35.0353,-89.795859,09/06/2020,39818,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Jim Keras Nissan,2080 Covington Pike,,Memphis,TN,38128,901-373-2800,E,Public - Call ahead,Dealership business hours,,,1,1,35.181031,-89.895533,07/03/2022,39819,2022-03-07 19:49:53 UTC,01/05/2019,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,East Tennessee Nissan,5496 W Andrew Johnson Hwy,,Morristown,TN,37814,423-587-2506,E,Public - Call ahead,Dealership business hours,,,1,0,36.18226,-83.382387,09/06/2020,39820,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
ELEC,Nissan of Murfreesboro,814 Memorial Blvd,,Murfreesboro,TN,37129,615-893-0252,E,Public - Call ahead,Dealership business hours,,,1,2,35.854156,-86.394979,10/02/2022,39821,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,Action Nissan,307 Thompson Ln,,Nashville,TN,37211,615-834-8244,E,Public - Call ahead,Dealership business hours,,,2,1,36.110606,-86.743585,10/02/2022,39822,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772 J1772COMBO,CAR_DEALER
ELEC,Downtown Nashville Nissan,25 Vantage Way,,Nashville,TN,37228,615-248-5100,E,Public - Call ahead,Dealership business hours,,,2,1,36.191053,-86.793132,10/02/2022,39823,2022-02-10 19:42:29 UTC,15/03/2011,CHADEMO J1772,CAR_DEALER
ELEC,Twin City Nissan,3247 Airport Hwy,,Alcoa,TN,37701,865-970-4132,E,Public - Call ahead,Dealership business hours,,,2,0,35.830725,-83.974822,05/08/2020,39845,2021-03-11 23:22:17 UTC,15/03/2011,J1772,CAR_DEALER
